Temporada,Equipo,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40,J41,J42,J43,J44
1929-30,Barcelona,Jaime Villena Gascó,José María Steimborn Ludeuvik,José Llovera Mas,Eloy Hernández Areces,Pedro Escartín Morán,José María Steimborn Ludeuvik,Alejandro Quintana,Pedro Escartín Morán,Alejandro Quintana,José Barrena,José Barrena,Jesús Arribas Seijas,José María Steimborn Ludeuvik,Pedro Escartín Morán,José Barrena,Ramón Melcón Bartolomé,Pedro Escartín Morán,José María Steimborn Ludeuvik,,,,,,,,,,,,,,,,,,,,,,,,,,
1929-30,Arenas,José Barrena,José María Steimborn Ludeuvik,Pedro Escartín Morán,Santiago Insausti,José Llovera Mas,Santiago Ledesma,Fausto Martín Arnáiz,Guillermo Comorera Gatuellas,Agustín Vilalta Bars,Ildefonso Cortadi Garmendia,José Barrena,Santiago Insausti,Eloy Hernández Areces,José Barrena,Gerónimo Olartecoechea Elorza,Jaime Villena Gascó,Fausto Martín Arnáiz,José Barrena,,,,,,,,,,,,,,,,,,,,,,,,,,
1929-30,Espanyol,José María Steimborn Ludeuvik,Guillermo Comorera Gatuellas,José Barrena,Ramón Melcón Bartolomé,Alejandro Quintana,Guillermo Comorera Gatuellas,Fausto Martín Arnáiz,Pedro Escartín Morán,José María Steimborn Ludeuvik,Pablo Saracho Goitia,Pedro Escartín Morán,Eloy Hernández Areces,Ramón Melcón Bartolomé,Guillermo Comorera Gatuellas,Tomás Balaguer García,Jaime Villena Gascó,Pedro Escartín Morán,Guillermo Comorera Gatuellas,,,,,,,,,,,,,,,,,,,,,,,,,,
1929-30,Real Madrid,Agustín Vilalta Bars,Ezequiel Montero Román,Ezequiel Montero Román,José María Steimborn Ludeuvik,Alejandro Quintana,Agustín Vilalta Bars,José María Steimborn Ludeuvik,Guillermo Comorera Gatuellas,Alejandro Quintana,Alejandro Quintana,Santiago Ledesma,Tomás Balaguer García,José María Navaz Sanz,Guillermo Comorera Gatuellas,Pablo Saracho Goitia,Santiago Insausti,Fausto Martín Arnáiz,José María Steimborn Ludeuvik,,,,,,,,,,,,,,,,,,,,,,,,,,
1929-30,Real Unión,José Barrena,Ezequiel Montero Román,José Barrena,Pedro Escartín Morán,Pedro Escartín Morán,Pedro Escartín Morán,Ezequiel Montero Román,Santiago Ledesma,José María Navaz Sanz,Ildefonso Cortadi Garmendia,Santiago Ledesma,Eloy Hernández Areces,José Barrena,Pedro Escartín Morán,Santiago Insausti,Eloy Hernández Areces,Agustín Cruella Tena,Eloy Hernández Areces,,,,,,,,,,,,,,,,,,,,,,,,,,
1929-30,Real Sociedad,Jaime Villena Gascó,Agustín Cruella Tena,Ramón Melcón Bartolomé,José María Steimborn Ludeuvik,Ramón Melcón Bartolomé,Santiago Ledesma,Ramón Melcón Bartolomé,Santiago Ledesma,José María Steimborn Ludeuvik,José Barrena,José María Navaz Sanz,Pedro Escartín Morán,José María Navaz Sanz,Ramón Melcón Bartolomé,Gerónimo Olartecoechea Elorza,Guillermo Comorera Gatuellas,Agustín Cruella Tena,Guillermo Comorera Gatuellas,,,,,,,,,,,,,,,,,,,,,,,,,,
1929-30,Racing de Santander,José María Steimborn Ludeuvik,Agustín Cruella Tena,Pedro Escartín Morán,Eloy Hernández Areces,Santiago Insausti,Agustín Vilalta Bars,Ezequiel Montero Román,Eloy Hernández Areces,Santiago Insausti,Pablo Saracho Goitia,José María Navaz Sanz,Santiago Insausti,José María Steimborn Ludeuvik,Agustín Vilalta Bars,Pablo Saracho Goitia,Eloy Hernández Areces,Santiago Insausti,Santiago Insausti,,,,,,,,,,,,,,,,,,,,,,,,,,
1929-30,Europa,Ramón Melcón Bartolomé,Ramón Melcón Bartolomé,José Llovera Mas,Santiago Insausti,Ramón Melcón Bartolomé,Guillermo Comorera Gatuellas,José María Steimborn Ludeuvik,Eloy Hernández Areces,José María Navaz Sanz,Jesús Arribas Seijas,Ramón Melcón Bartolomé,Jesús Arribas Seijas,Eloy Hernández Areces,Ramón Melcón Bartolomé,Tomás Balaguer García,Santiago Insausti,Santiago Insausti,Eloy Hernández Areces,,,,,,,,,,,,,,,,,,,,,,,,,,
1929-30,Atlético de Madrid,Ramón Melcón Bartolomé,Guillermo Comorera Gatuellas,Ezequiel Montero Román,Pedro Escartín Morán,Santiago Insausti,José María Steimborn Ludeuvik,Ramón Melcón Bartolomé,Santiago Insausti,Agustín Vilalta Bars,Jesús Arribas Seijas,Pedro Escartín Morán,Tomás Balaguer García,José Barrena,Agustín Vilalta Bars,José Barrena,Guillermo Comorera Gatuellas,Santiago Insausti,José Barrena,,,,,,,,,,,,,,,,,,,,,,,,,,
1930-31,Athletic Club,Pedro Escartín Morán,Tomás Balaguer García,Santiago Insausti,Pedro Vicente Saturnino Vallana Jeanguenat,Ramón Melcón Bartolomé,Edmundo Gumb,Julio Ostalé Gómez,Santiago Insausti,Agustín Vilalta Bars,Tomás Balaguer García,Agustín Vilalta Bars,Pedro Escartín Morán,Pedro Vicente Saturnino Vallana Jeanguenat,Santiago Insausti,Edmundo Gumb,Agustín Vilalta Bars,Eloy Hernández Areces,Alejandro Quintana,,,,,,,,,,,,,,,,,,,,,,,,,,
1930-31,Racing de Santander,José María Steimborn Ludeuvik,Julio Ostalé Gómez,Santiago Insausti,Pedro Escartín Morán,Guillermo Comorera Gatuellas,Santiago Insausti,José María Steimborn Ludeuvik,Pedro Escartín Morán,Guillermo Comorera Gatuellas,Pelayo Serrano de la Mata,Ramón Melcón Bartolomé,Pedro Escartín Morán,Ramón Melcón Bartolomé,Ezequiel Montero Román,Pedro Vicente Saturnino Vallana Jeanguenat,José María Steimborn Ludeuvik,Pelayo Serrano de la Mata,Ramón Melcón Bartolomé,,,,,,,,,,,,,,,,,,,,,,,,,,
1930-31,Real Sociedad,Ramón Melcón Bartolomé,Tomás Balaguer García,Tomás Balaguer García,Pelayo Serrano de la Mata,Guillermo Comorera Gatuellas,Eloy Hernández Areces,Agustín Vilalta Bars,Pedro Vicente Saturnino Vallana Jeanguenat,Eloy Hernández Areces,Guillermo Comorera Gatuellas,Agustín Vilalta Bars,Tomás Balaguer García,Eloy Hernández Areces,Ezequiel Montero Román,Antonio Adrados Martín,Ramón Melcón Bartolomé,Alejandro Quintana,Pelayo Serrano de la Mata,,,,,,,,,,,,,,,,,,,,,,,,,,
