Temporada,Equipo,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40,J41,J42,J43,J44
1929-30,Espanyol,1,1,3,2,4,1,0,4,0,3,0,3,0,8,2,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,
1929-30,Real Madrid,1,2,1,0,2,6,2,5,4,2,2,4,1,1,0,6,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,
1929-30,Real Unión,3,2,3,3,1,2,6,3,1,2,2,1,8,2,1,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,
1929-30,Real Sociedad,0,7,2,4,2,4,1,2,1,1,0,1,1,2,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1929-30,Racing de Santander,4,0,2,0,3,0,3,6,0,0,2,1,2,1,2,4,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1929-30,Europa,3,2,1,3,3,2,1,0,0,2,0,0,1,0,1,1,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,
1929-30,Atlético de Madrid,5,0,2,3,2,2,1,1,1,0,2,1,2,3,3,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1930-31,Athletic Club,3,6,1,7,1,5,6,5,3,12,0,7,4,4,2,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1930-31,Racing de Santander,2,1,4,1,2,3,5,4,2,2,4,1,0,7,0,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,
1930-31,Real Sociedad,2,1,4,4,5,3,3,2,0,2,1,1,3,4,1,4,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1930-31,Barcelona,6,2,1,1,0,6,1,1,0,1,0,5,1,2,4,5,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,
1930-31,Arenas,1,2,4,0,5,2,1,4,4,2,1,2,1,0,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1930-31,Real Madrid,2,1,1,3,1,0,0,1,0,1,3,1,3,0,0,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1930-31,Real Unión,2,1,1,2,6,1,1,1,2,2,0,4,3,2,4,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1930-31,Alavés,2,3,4,1,0,3,2,1,2,1,1,0,1,2,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1930-31,Espanyol,0,4,1,5,1,2,4,1,1,1,0,2,0,4,4,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1930-31,Europa,1,2,2,1,2,1,0,1,0,1,2,3,0,1,2,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1931-32,Real Madrid,1,2,1,5,2,3,3,0,2,3,1,4,1,4,2,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1931-32,Athletic Club,1,3,5,3,0,5,0,4,3,3,1,2,3,7,2,4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1931-32,Barcelona,3,2,3,0,4,6,0,2,0,3,3,2,1,2,3,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1931-32,Racing de Santander,2,2,1,2,2,4,5,0,2,1,1,1,2,3,4,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1931-32,Arenas,2,2,3,2,2,0,4,1,2,0,1,1,3,0,5,1,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,
1931-32,Espanyol,3,1,0,4,1,0,1,1,2,1,6,2,2,4,1,0,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1931-32,Valencia,0,5,1,1,0,1,0,1,3,3,2,1,4,2,6,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1931-32,Real Sociedad,1,1,2,7,5,1,1,0,0,7,0,4,0,0,3,1,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,
1931-32,Alavés,1,2,1,0,4,0,2,2,2,1,0,1,0,0,1,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1931-32,Real Unión,1,1,1,2,0,1,2,4,0,2,3,1,2,2,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1932-33,Real Madrid,1,6,1,4,6,1,4,5,2,2,2,2,0,1,2,2,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1932-33,Athletic Club,9,1,3,0,2,4,1,5,0,5,9,2,5,4,1,3,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1932-33,Espanyol,2,2,2,2,3,1,3,1,2,0,3,1,2,1,5,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1932-33,Barcelona,2,2,2,5,1,1,3,1,4,3,1,4,1,4,1,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,
1932-33,Betis,1,3,4,1,2,2,1,0,1,1,1,2,0,1,3,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1932-33,Real Sociedad,2,2,2,3,0,2,4,1,2,2,1,2,0,6,2,2,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1932-33,Arenas,2,0,1,2,2,3,1,1,1,2,2,4,5,1,1,3,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,
1932-33,Racing de Santander,2,0,1,2,1,2,1,7,0,9,5,3,2,2,2,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,
1932-33,Valencia,3,2,2,0,0,1,1,1,5,2,2,2,6,0,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1932-33,Alavés,8,0,0,1,0,0,1,2,2,0,2,0,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1933-34,Athletic Club,2,5,2,5,0,5,0,6,2,6,3,6,4,9,0,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,
1933-34,Real Madrid,3,3,2,2,1,1,0,2,3,2,1,3,4,3,3,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1933-34,Racing de Santander,1,4,0,4,0,1,3,2,3,4,1,3,1,4,1,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1933-34,Betis,2,0,1,4,1,2,1,1,1,1,1,2,3,3,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1933-34,Real Sociedad,0,4,0,3,2,1,3,1,3,3,0,0,1,0,2,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1933-34,Real Oviedo,7,3,2,2,0,3,1,3,1,0,3,2,4,7,2,7,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,
1933-34,Valencia,2,2,2,1,1,2,1,1,2,2,2,1,4,0,2,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1933-34,Espanyol,4,0,5,0,3,1,0,6,2,3,3,1,1,1,5,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1933-34,Barcelona,3,5,1,1,0,5,6,1,5,2,2,4,0,4,0,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1933-34,Arenas,3,1,3,1,2,0,1,2,1,1,0,0,2,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1934-35,Betis,1,2,3,3,1,2,2,1,1,3,3,1,0,0,1,4,2,1,5,0,2,5,,,,,,,,,,,,,,,,,,,,,,
1934-35,Real Madrid,0,2,2,3,7,1,3,2,1,8,2,0,2,2,2,4,5,3,3,3,0,6,,,,,,,,,,,,,,,,,,,,,,
1934-35,Real Oviedo,0,4,3,0,2,4,1,4,3,4,8,3,1,3,1,4,2,0,5,2,4,2,,,,,,,,,,,,,,,,,,,,,,
